trimmed_name,frame_x,frame_y,frame_width,frame_height,sprite_x,sprite_y,sprite_width,sprite_height,rotated
Chest,216,168,20,22,0,0,20,22,false
Door,174,68,64,64,0,0,64,64,false
HardHat,86,322,40,40,0,0,40,40,false
Hunter_Body,44,322,40,40,0,0,40,40,false
Hunter_Dead,2,322,40,40,0,0,40,40,false
Hunter_FrontArm,212,294,40,40,0,0,40,40,false
Hunter_Head,170,294,40,40,0,0,40,40,false
Hunter_Shadow,128,280,40,40,0,0,40,40,false
Magnum357,86,280,40,40,0,0,40,40,false
Ogre_Body,88,120,84,116,0,0,84,116,false
Ogre_Dead,44,280,40,40,0,0,40,40,false
Ogre_FrontArm,2,120,84,116,0,0,84,116,false
Ogre_Head,88,2,84,116,0,0,84,116,false
Ogre_Shadow,2,2,84,116,0,0,84,116,false
Undefined_Body,2,280,40,40,0,0,40,40,false
Undefined_Dead,212,252,40,40,0,0,40,40,false
Undefined_FrontArm,170,252,40,40,0,0,40,40,false
Undefined_Head,128,238,40,40,0,0,40,40,false
Undefined_Shadow,128,280,40,40,0,0,40,40,false
Wall,174,2,64,64,0,0,64,64,false
Water,174,134,64,32,0,0,64,32,false
Z4Rifle,86,238,40,40,0,0,40,40,false
Zombie,44,238,40,40,0,0,40,40,false
Zombie_Body,2,238,40,40,0,0,40,40,false
Zombie_Dead,44,280,40,40,0,0,40,40,false
Zombie_FrontArm,174,210,40,40,0,0,40,40,false
Zombie_Head,174,168,40,40,0,0,40,40,false
Zombie_Shadow,128,280,40,40,0,0,40,40,false
